Provinsi,2018,2019,2020,2021,2022,2023,2024
Aceh,5243400.0,5316300.0,5554800.0,5274900.0,5334900.0,5409200.0,5554800.0
Bali,4309200.0,4362000.0,4433300.0,4317400.0,4343400.0,4374300.0,4433300.0
Banten,12530800.0,12714300.0,12431400.0,11904600.0,12023000.0,12167000.0,12431400.0
Bengkulu,1948600.0,1971800.0,2112200.0,2010700.0,2032400.0,2059400.0,2112200.0
DI Yogyakarta,3818300.0,3868600.0,3759500.0,3668700.0,3687800.0,3712600.0,3759500.0
DKI Jakarta,10428000.0,10504100.0,10684900.0,10562100.0,10605400.0,10640000.0,10684900.0
Gorontalo,1166100.0,1176400.0,1227800.0,1171700.0,1183500.0,1198400.0,1227800.0
Indonesia,264161599.99999997,266911900.00000003,281603800.0,270203900.0,272679200.0,275719900.0,281603800.0
Jambi,3527100.0,3566200.0,3724300.0,3548200.0,3586400.0,3633200.0,3724300.0
Jawa Barat,48475500.0,49023200.0,50345200.0,48274200.0,48738800.0,49306800.0,50345200.0
Jawa Tengah,34358500.0,34552500.0,37892300.0,36516000.0,36811100.0,37180400.0,37892300.0
Jawa Timur,39521900.0,39744800.0,41814500.0,40665700.0,40921100.0,41230000.0,41814500.0
Kalimantan Barat,4985100.0,5045700.0,5695500.0,5414400.0,5474700.0,5549700.0,5695500.0
Kalimantan Selatan,4162399.9999999995,4216300.0,4273400.0,4073600.0,4116899.9999999995,4170200.0,4273400.0
Kalimantan Tengah,2612600.0,2649800.0,2809700.0,2670000.0,2700100.0,2737200.0,2809700.0
Kalimantan Timur,3573800.0,3619700.0,4045900.0,3766000.0,3803500.0,3856800.0,4045900.0
Kalimantan Utara,682800.0,695600.0,739800.0,701800.0,710000.0,720100.0,739800.0
Kep. Bangka Belitung,1432100.0,1451100.0,1531500.0,1455700.0,1471800.0,1492000.0,1531500.0
Kep. Riau,2174800.0,2241600.0,2183300.0,2064600.0,2089900.0,2121500.0,2183300.0
Lampung,8377700.000000001,8457600.0,9419600.0,9007800.0,4438600.0,4496600.0,9419600.0
Maluku,1749500.0,1768500.0,1945600.0,1848900.0,1869500.0,1895100.0,1945600.0
Maluku Utara,1218800.0,1235700.0,1355600.0,1282900.0,1299600.0,1318500.0,1355600.0
Nusa Tenggara Barat,5077700.0,5152400.0,5646000.0,5320100.0,5387200.0,5474000.0,5646000.0
Nusa Tenggara Timur,5360300.0,5437200.0,5656000.0,5325600.0,5394400.0,5481800.0,5656000.0
Papua,3300200.0,3347100.0,4542600.0,4303700.0,4356800.0,4429700.0,4542600.0
Papua Barat,941400.0,963600.0,1205800.0,1134100.0,1149400.0,1168400.0,1205800.0
Riau,6717600.0,6835100.0,6728100.0,6394100.0,6466800.0,6555800.0,6728100.0
Sulawesi Barat,1340100.0,1359200.0,1503200.0,1419200.0,1436700.0,1458900.0,1503200.0
Sulawesi Selatan,8748100.0,8819500.0,9463400.0,9073500.0,9156900.0,9260100.0,9463400.0
Sulawesi Tengah,3001900.0,3042100.0,3121800.0,2985700.0,3015000.0,3051200.0,3121800.0
Sulawesi Tenggara,2623600.0,2663700.0,2793100.0,2624900.0,2659900.0,2704600.0,2793100.0
Sulawesi Utara,2474400.0,2494100.0,2701800.0,2621900.0,2639500.0,2660800.0,2701800.0
Sumatera Barat,5411800.0,5479500.0,5836200.0,5534500.0,5597300.0,5677600.0,5836200.0
Sumatera Selatan,8391500.0,8497200.0,8837300.0,8467400.0,8548600.0,8647300.0,8837300.0
Sumatera Utara,14476000.0,14639400.0,15588500.0,14799400.0,14970500.0,15180500.0,15588500.0
