month,year,dengue_total,monthly_weight
1,2019,27445,0.19868820177947022
2,2019,24018,0.17387841976095156
3,2019,18110,0.1311074270076956
4,2019,13642,0.09876132077520615
5,2019,12556,0.0908992188574614
6,2019,9514,0.06887664608234212
7,2019,7738,0.05601928604006342
8,2019,5386,0.0389919713894781
9,2019,4154,0.030072901810600083
10,2019,4376,0.03168007181588492
11,2019,5425,0.039274312066082194
12,2019,5767,0.04175022261476424
1,2020,15950,0.14727200539227908
2,2020,19693,0.1818324515479719
3,2020,19366,0.17881314460356593
4,2020,13160,0.1215109461418428
5,2020,10725,0.09902772776377386
6,2020,8106,0.07484557214481594
7,2020,6329,0.05843790107383914
8,2020,3833,0.03539144806699722
9,2020,2743,0.02532709158564398
10,2020,2419,0.022335484704948155
11,2020,2963,0.027358429591054726
12,2020,3016,0.027847797383267314
1,2021,4567,0.062120841154547184
2,2021,4472,0.0608286406050219
3,2021,5712,0.0776952583040888
4,2021,6211,0.08448271171685845
5,2021,6677,0.09082129546505617
6,2021,5444,0.07404989254332273
7,2021,3422,0.046546424005005575
8,2021,3414,0.0464376071166245
9,2021,4057,0.055183764520253545
10,2021,6092,0.08286406050218995
11,2021,9899,0.13464729726053484
12,2021,13551,0.18432220680649636
1,2022,20486,0.14299275473594572
2,2022,11849,0.08270629458489802
3,2022,10082,0.07037259363701087
4,2022,10664,0.07443496712409085
5,2022,12470,0.0870408889757514
6,2022,12762,0.08907905574246507
7,2022,13118,0.09156394399229406
8,2022,12348,0.08618932614856281
9,2022,10994,0.07673837477140424
10,2022,10135,0.07074253486521576
11,2022,9423,0.06577275836555778
12,2022,8935,0.06236650705680343
1,2023,12611,0.10992852161785216
2,2023,10862,0.09468270571827057
3,2023,10220,0.08908647140864714
4,2023,8042,0.07010111576011158
5,2023,9447,0.08234832635983264
6,2023,8115,0.07073744769874477
7,2023,8052,0.07018828451882846
8,2023,8719,0.07600244072524408
9,2023,7946,0.06926429567642957
10,2023,8339,0.07269002789400279
11,2023,10082,0.08788354253835426
12,2023,12285,0.107086820083682
