year,Temp,Humidity,Percipitation,jakarta_monthly_count
2019-01,28.3,80,365.5,1721
2019-02,28.5,80.2,216.9,1506
2019-03,28.3,78.4,332.1,1136
2019-04,29.1,78.4,132.5,855
2019-05,29.8,73.8,24.7,787
2019-06,29.2,71.9,5,597
2019-07,28.7,68.5,0,485
2019-08,28.3,68.6,0,338
2019-09,28.9,68.7,0,260
2019-10,29.5,69,1,274
2019-11,29.7,71,80,340
2019-12,28.7,79.1,509.3,362
2020-01,28.28,82,607.2,702
2020-02,27.92,83,784.5,866
2020-03,28.75,78,211.1,852
2020-04,29.48,78,142.2,579
2020-05,29.72,75,52.5,472
2020-06,29.61,74,63.3,357
2020-07,29.06,71,99.9,278
2020-08,29.34,70,77.9,169
2020-09,29.45,70,131.9,121
2020-10,29.15,73,98.3,106
2020-11,29.11,75,114.6,130
2020-12,28.13,74,236.5,133
2021-01,27.5,81.8,332.4,190
2021-02,27.7,83,466.8,186
2021-03,28.5,78.3,190.1,238
2021-04,29.1,76.1,88.6,259
2021-05,29.7,76,249.7,278
2021-06,28.9,79,130.6,227
2021-07,29.1,72.8,47,143
2021-08,29.3,72.1,65.6,142
2021-09,29.4,72.7,83.4,169
2021-10,29.4,73.5,247.2,254
2021-11,28.8,76.3,52,412
2021-12,28.5,79.6,162.9,565
2022-01,27.64,78.4,373.075,1152
2022-02,27.91,82,490.65,666
2022-03,28.825,79.15,255.075,567
2022-04,29.29,75.55,138.275,600
2022-05,29.81,76,90.35,701
2022-06,29.255,78,58.5,718
2022-07,29.38,72.4,36.725,738
2022-08,29.72,72.05,47.375,694
2022-09,29.675,69.85,61.25,618
2022-10,29.125,71.25,103.7,570
2022-11,28.755,76.15,109.575,530
2022-12,28.115,76.3,236.325,502
2023-01,27.488,75,268.2,424
2023-02,27.912,81,496.1,365
2023-03,28.99,80,246.7,344
2023-04,29.328,75,76.9,271
2023-05,29.862,76,117.7,318
2023-06,29.296,77,90.6,273
2023-07,29.596,72,11.7,271
2023-08,30.064,72,0,293
2023-09,29.88,67,2.7,267
2023-10,29,69,8888,281
2023-11,28.576,76,204.1,339
2023-12,27.938,73,7,413
