month,year,dengue_total
01,2015,21267
02,2015,20164
03,2015,14884
04,2015,13664
05,2015,11796
06,2015,10007
07,2015,7200
08,2015,5501
09,2015,4855
10,2015,5221
11,2015,6803
12,2015,8327
01,2016,29672
02,2016,32117
03,2016,27005
04,2016,24239
05,2016,19075
06,2016,15183
07,2016,12005
08,2016,11342
09,2016,9277
10,2016,8855
11,2016,8669
12,2016,6733
01,2017,68407
01,2018,65600
01,2019,27445
02,2019,24018
03,2019,18110
04,2019,13642
05,2019,12556
06,2019,9514
07,2019,7738
08,2019,5386
09,2019,4154
10,2019,4376
11,2019,5425
12,2019,5767
01,2020,15950
02,2020,19693
03,2020,19366
04,2020,13160
05,2020,10725
06,2020,8106
07,2020,6329
08,2020,3833
09,2020,2743
10,2020,2419
11,2020,2963
12,2020,3016
01,2021,4567
02,2021,4472
03,2021,5712
04,2021,6211
05,2021,6677
06,2021,5444
07,2021,3422
08,2021,3414
09,2021,4057
10,2021,6092
11,2021,9899
12,2021,13551
01,2022,20486
02,2022,11849
03,2022,10082
04,2022,10664
05,2022,12470
06,2022,12762
07,2022,13118
08,2022,12348
09,2022,10994
10,2022,10135
11,2022,9423
12,2022,8935
01,2023,12611
02,2023,10862
03,2023,10220
04,2023,8042
05,2023,9447
06,2023,8115
07,2023,8052
08,2023,8719
09,2023,7946
10,2023,8339
11,2023,10082
12,2023,12285
01,2024,27058
02,2024,28886
03,2024,32091
04,2024,29247
05,2024,30115
06,2024,23415
07,2024,17863
08,2024,12297
09,2024,8653
10,2024,1019
