year,month,jakarta_monthly_count
2019,1,1721.0
2019,2,1506.0
2019,3,1136.0
2019,4,855.0
2019,5,787.0
2019,6,597.0
2019,7,485.0
2019,8,338.0
2019,9,260.0
2019,10,274.0
2019,11,340.0
2019,12,362.0
2020,1,702.0
2020,2,866.0
2020,3,852.0
2020,4,579.0
2020,5,472.0
2020,6,357.0
2020,7,278.0
2020,8,169.0
2020,9,121.0
2020,10,106.0
2020,11,130.0
2020,12,133.0
2021,1,190.0
2021,2,186.0
2021,3,238.0
2021,4,259.0
2021,5,278.0
2021,6,227.0
2021,7,143.0
2021,8,142.0
2021,9,169.0
2021,10,254.0
2021,11,412.0
2021,12,565.0
2022,1,1152.0
2022,2,666.0
2022,3,567.0
2022,4,600.0
2022,5,701.0
2022,6,718.0
2022,7,738.0
2022,8,694.0
2022,9,618.0
2022,10,570.0
2022,11,530.0
2022,12,502.0
2023,1,424.0
2023,2,365.0
2023,3,344.0
2023,4,271.0
2023,5,318.0
2023,6,273.0
2023,7,271.0
2023,8,293.0
2023,9,267.0
2023,10,281.0
2023,11,339.0
2023,12,413.0
